"Date","BTC_Close","BTC_High","BTC_Low","BTC_Open","BTC_Volume","BTC_PriceRange","NIFTY_Close","NIFTY_High","NIFTY_Low","NIFTY_Open","NIFTY_Volume","NIFTY_PriceRange","ETH_Close","ETH_High","ETH_Low","ETH_Open","ETH_Volume","ETH_PriceRange"
2019-11-14,628215.04,636788.96,627093.74,635706.34,1.38e+12,9695.21999999997,11872.1,11895.65,11802.65,11858.75,559500,93,13418.29,13608.38,13345.62,13582.26,5.68e+11,262.759999999998
2019-11-15,611048.12,628236.98,610533.74,626426.21,1.57e+12,17703.24,11895.45,11973.65,11879.25,11904.2,580200,94.3999999999996,12989.55,13401.9,12907.4,13387.96,6.34e+11,494.5
2019-11-18,595824.03,620490.41,593263.21,614804.15,1.55e+12,27227.2000000001,11884.5,11946.2,11867.6,11915.15,514400,78.6000000000004,12947.17,13403.76,12847.92,13268.55,5.58e+11,555.84
2019-11-19,590309.87,604867.46,582671.65,597430.67,1.52e+12,22195.8099999999,11940.1,11958.85,11881.75,11919.45,613900,77.1000000000004,12765.28,13130.17,12602.82,12984.46,5.42e+11,527.35
2019-11-20,576767.22,591853.93,575563.26,589437.8,1.49e+12,16290.67,11999.1,12038.6,11966.05,12004.75,646700,72.5500000000011,12624.1,12860.84,12594.79,12747.47,5.18e+11,266.049999999999
2019-11-21,548506.44,582047.18,545250.45,575842.56,1.62e+12,36796.7300000001,11968.4,12028.2,11956.9,12025.65,557700,71.3000000000011,11587.89,12646.22,11437.35,12607.78,6.13e+11,1208.87
2019-11-22,523460.14,552214.1,497642.81,548353.5,2.46e+12,54571.29,11914.4,11968.1,11883.5,11967.3,486800,84.6000000000004,10780.31,11695.72,10211.84,11586.51,8.62e+11,1483.88
2019-11-25,512968.07,525438.37,474997.45,505347.86,3.06e+12,50440.92,12073.75,12084.5,11919.75,11922.45,534300,164.75,10514.47,10782.32,9604.68,10243.16,7.87e+11,1177.64
2019-11-26,517409.21,524710.44,508822.09,512161.41,1.51e+12,15888.3499999999,12037.7,12132.45,12006.35,12110.2,1201300,126.1,10677.74,10752.27,10409.07,10494.19,5.48e+11,343.200000000001
2019-11-27,537974.66,544262.49,498154.1,515775.95,1.71e+12,46108.39,12100.7,12114.9,12055.15,12068.5,584200,59.75,10929.3,11063.35,10251.8,10599.75,6.27e+11,811.550000000001
